Net Asset Value,NAV date,Fund Name
209.94,2024-07-01,HDFC Focused 30 Fund
26.7087,2024-07-01,Kotak Equity Savings Fund
34.7509,2024-07-01,HSBC Equity Savings Fund
95.6996,2024-07-01,Nippon India Large Cap Fund
40.79,2024-07-01,Bank of India Mid Small Cap Fund
35.8602,2024-07-01,SBI PSU Fund
32.7381,2024-07-02,ICICI Prudential Bharat 22 FOF
26.7179,2024-07-02,Kotak Equity Savings Fund
34.853,2024-07-02,HSBC Equity Savings Fund
95.5824,2024-07-02,Nippon India Large Cap Fund
40.67,2024-07-02,Bank of India Mid Small Cap Fund
35.6625,2024-07-02,SBI PSU Fund
209.285,2024-07-02,HDFC Focused 30 Fund
41.0,2024-07-03,Bank of India Mid Small Cap Fund
36.0517,2024-07-03,SBI PSU Fund
210.729,2024-07-03,HDFC Focused 30 Fund
34.9546,2024-07-03,HSBC Equity Savings Fund
26.8297,2024-07-03,Kotak Equity Savings Fund
32.9581,2024-07-03,ICICI Prudential Bharat 22 FOF
96.3988,2024-07-03,Nippon India Large Cap Fund
35.0724,2024-07-04,HSBC Equity Savings Fund
96.6688,2024-07-04,Nippon India Large Cap Fund
36.2054,2024-07-04,SBI PSU Fund
26.828,2024-07-04,Kotak Equity Savings Fund
41.18,2024-07-04,Bank of India Mid Small Cap Fund
33.0627,2024-07-04,ICICI Prudential Bharat 22 FOF
211.598,2024-07-04,HDFC Focused 30 Fund
41.27,2024-07-05,Bank of India Mid Small Cap Fund
211.224,2024-07-05,HDFC Focused 30 Fund
33.5087,2024-07-05,ICICI Prudential Bharat 22 FOF
36.7174,2024-07-05,SBI PSU Fund
35.2508,2024-07-05,HSBC Equity Savings Fund
26.8097,2024-07-05,Kotak Equity Savings Fund
96.8297,2024-07-05,Nippon India Large Cap Fund
37.0524,2024-07-08,SBI PSU Fund
35.2548,2024-07-08,HSBC Equity Savings Fund
210.789,2024-07-08,HDFC Focused 30 Fund
26.8081,2024-07-08,Kotak Equity Savings Fund
33.8183,2024-07-08,ICICI Prudential Bharat 22 FOF
96.8647,2024-07-08,Nippon India Large Cap Fund
41.14,2024-07-08,Bank of India Mid Small Cap Fund
35.2831,2024-07-09,HSBC Equity Savings Fund
26.8835,2024-07-09,Kotak Equity Savings Fund
97.3311,2024-07-09,Nippon India Large Cap Fund
34.0678,2024-07-09,ICICI Prudential Bharat 22 FOF
37.1051,2024-07-09,SBI PSU Fund
211.876,2024-07-09,HDFC Focused 30 Fund
41.11,2024-07-09,Bank of India Mid Small Cap Fund
26.9004,2024-07-10,Kotak Equity Savings Fund
211.383,2024-07-10,HDFC Focused 30 Fund
35.1499,2024-07-10,HSBC Equity Savings Fund
40.98,2024-07-10,Bank of India Mid Small Cap Fund
37.0616,2024-07-10,SBI PSU Fund
34.0213,2024-07-10,ICICI Prudential Bharat 22 FOF
96.9845,2024-07-10,Nippon India Large Cap Fund
41.19,2024-07-11,Bank of India Mid Small Cap Fund
34.2624,2024-07-11,ICICI Prudential Bharat 22 FOF
211.447,2024-07-11,HDFC Focused 30 Fund
97.096,2024-07-11,Nippon India Large Cap Fund
37.3966,2024-07-11,SBI PSU Fund
26.9357,2024-07-11,Kotak Equity Savings Fund
35.2329,2024-07-11,HSBC Equity Savings Fund
212.283,2024-07-12,HDFC Focused 30 Fund
37.4185,2024-07-12,SBI PSU Fund
41.38,2024-07-12,Bank of India Mid Small Cap Fund
26.9627,2024-07-12,Kotak Equity Savings Fund
34.1393,2024-07-12,ICICI Prudential Bharat 22 FOF
35.2542,2024-07-12,HSBC Equity Savings Fund
97.3785,2024-07-12,Nippon India Large Cap Fund
35.2083,2024-07-15,HSBC Equity Savings Fund
213.108,2024-07-15,HDFC Focused 30 Fund
37.9599,2024-07-15,SBI PSU Fund
41.65,2024-07-15,Bank of India Mid Small Cap Fund
27.063,2024-07-15,Kotak Equity Savings Fund
97.7671,2024-07-15,Nippon India Large Cap Fund
34.6032,2024-07-15,ICICI Prudential Bharat 22 FOF
35.1943,2024-07-16,HSBC Equity Savings Fund
37.8626,2024-07-16,SBI PSU Fund
97.4713,2024-07-16,Nippon India Large Cap Fund
27.0707,2024-07-16,Kotak Equity Savings Fund
34.6195,2024-07-16,ICICI Prudential Bharat 22 FOF
41.62,2024-07-16,Bank of India Mid Small Cap Fund
213.213,2024-07-16,HDFC Focused 30 Fund
37.4711,2024-07-18,SBI PSU Fund
34.9754,2024-07-18,HSBC Equity Savings Fund
34.4794,2024-07-18,ICICI Prudential Bharat 22 FOF
213.694,2024-07-18,HDFC Focused 30 Fund
97.7055,2024-07-18,Nippon India Large Cap Fund
41.18,2024-07-18,Bank of India Mid Small Cap Fund
27.0686,2024-07-18,Kotak Equity Savings Fund
96.409,2024-07-19,Nippon India Large Cap Fund
36.6173,2024-07-19,SBI PSU Fund
212.075,2024-07-19,HDFC Focused 30 Fund
26.9621,2024-07-19,Kotak Equity Savings Fund
34.6356,2024-07-19,HSBC Equity Savings Fund
33.8967,2024-07-19,ICICI Prudential Bharat 22 FOF
40.48,2024-07-19,Bank of India Mid Small Cap Fund
40.74,2024-07-22,Bank of India Mid Small Cap Fund
34.0095,2024-07-22,ICICI Prudential Bharat 22 FOF
27.0318,2024-07-22,Kotak Equity Savings Fund
212.202,2024-07-22,HDFC Focused 30 Fund
96.7013,2024-07-22,Nippon India Large Cap Fund
36.9491,2024-07-22,SBI PSU Fund
34.7423,2024-07-22,HSBC Equity Savings Fund
36.3834,2024-07-23,SBI PSU Fund
96.5445,2024-07-23,Nippon India Large Cap Fund
40.51,2024-07-23,Bank of India Mid Small Cap Fund
34.7042,2024-07-23,HSBC Equity Savings Fund
211.801,2024-07-23,HDFC Focused 30 Fund
33.9035,2024-07-23,ICICI Prudential Bharat 22 FOF
27.0023,2024-07-23,Kotak Equity Savings Fund
212.489,2024-07-24,HDFC Focused 30 Fund
96.7617,2024-07-24,Nippon India Large Cap Fund
41.19,2024-07-24,Bank of India Mid Small Cap Fund
34.058,2024-07-24,ICICI Prudential Bharat 22 FOF
27.0425,2024-07-24,Kotak Equity Savings Fund
35.0099,2024-07-24,HSBC Equity Savings Fund
36.6835,2024-07-24,SBI PSU Fund
96.7323,2024-07-25,Nippon India Large Cap Fund
41.11,2024-07-25,Bank of India Mid Small Cap Fund
211.652,2024-07-25,HDFC Focused 30 Fund
35.0772,2024-07-25,HSBC Equity Savings Fund
34.1574,2024-07-25,ICICI Prudential Bharat 22 FOF
27.0425,2024-07-25,Kotak Equity Savings Fund
36.9673,2024-07-25,SBI PSU Fund
34.6617,2024-07-26,ICICI Prudential Bharat 22 FOF
214.317,2024-07-26,HDFC Focused 30 Fund
37.5807,2024-07-26,SBI PSU Fund
41.44,2024-07-26,Bank of India Mid Small Cap Fund
35.2672,2024-07-26,HSBC Equity Savings Fund
27.1935,2024-07-26,Kotak Equity Savings Fund
98.3111,2024-07-26,Nippon India Large Cap Fund
34.9385,2024-07-29,ICICI Prudential Bharat 22 FOF
37.979,2024-07-29,SBI PSU Fund
41.75,2024-07-29,Bank of India Mid Small Cap Fund
27.196,2024-07-29,Kotak Equity Savings Fund
98.4839,2024-07-29,Nippon India Large Cap Fund
213.997,2024-07-29,HDFC Focused 30 Fund
35.4553,2024-07-29,HSBC Equity Savings Fund
35.1592,2024-07-30,ICICI Prudential Bharat 22 FOF
213.933,2024-07-30,HDFC Focused 30 Fund
98.6802,2024-07-30,Nippon India Large Cap Fund
35.5032,2024-07-30,HSBC Equity Savings Fund
41.92,2024-07-30,Bank of India Mid Small Cap Fund
27.2452,2024-07-30,Kotak Equity Savings Fund
38.1593,2024-07-30,SBI PSU Fund
27.2827,2024-07-31,Kotak Equity Savings Fund
99.038,2024-07-31,Nippon India Large Cap Fund
35.3313,2024-07-31,ICICI Prudential Bharat 22 FOF
214.685,2024-07-31,HDFC Focused 30 Fund
35.4928,2024-07-31,HSBC Equity Savings Fund
38.2984,2024-07-31,SBI PSU Fund
41.95,2024-07-31,Bank of India Mid Small Cap Fund
214.7,2024-08-01,HDFC Focused 30 Fund
41.74,2024-08-01,Bank of India Mid Small Cap Fund
38.3023,2024-08-01,SBI PSU Fund
35.4067,2024-08-01,HSBC Equity Savings Fund
35.4447,2024-08-01,ICICI Prudential Bharat 22 FOF
99.1905,2024-08-01,Nippon India Large Cap Fund
27.3017,2024-08-01,Kotak Equity Savings Fund
27.2402,2024-08-02,Kotak Equity Savings Fund
98.3992,2024-08-02,Nippon India Large Cap Fund
35.308,2024-08-02,HSBC Equity Savings Fund
34.8224,2024-08-02,ICICI Prudential Bharat 22 FOF
37.7859,2024-08-02,SBI PSU Fund
41.5,2024-08-02,Bank of India Mid Small Cap Fund
212.74,2024-08-02,HDFC Focused 30 Fund
33.935,2024-08-05,ICICI Prudential Bharat 22 FOF
26.9662,2024-08-05,Kotak Equity Savings Fund
36.4182,2024-08-05,SBI PSU Fund
95.6995,2024-08-05,Nippon India Large Cap Fund
34.7188,2024-08-05,HSBC Equity Savings Fund
40.26,2024-08-05,Bank of India Mid Small Cap Fund
208.039,2024-08-05,HDFC Focused 30 Fund
40.07,2024-08-06,Bank of India Mid Small Cap Fund
36.0187,2024-08-06,SBI PSU Fund
33.4456,2024-08-06,ICICI Prudential Bharat 22 FOF
34.5428,2024-08-06,HSBC Equity Savings Fund
95.1642,2024-08-06,Nippon India Large Cap Fund
26.8766,2024-08-06,Kotak Equity Savings Fund
207.36,2024-08-06,HDFC Focused 30 Fund
40.99,2024-08-07,Bank of India Mid Small Cap Fund
27.0646,2024-08-07,Kotak Equity Savings Fund
96.5617,2024-08-07,Nippon India Large Cap Fund
34.3216,2024-08-07,ICICI Prudential Bharat 22 FOF
37.0398,2024-08-07,SBI PSU Fund
34.9652,2024-08-07,HSBC Equity Savings Fund
209.603,2024-08-07,HDFC Focused 30 Fund
209.206,2024-08-08,HDFC Focused 30 Fund
40.85,2024-08-08,Bank of India Mid Small Cap Fund
95.9036,2024-08-08,Nippon India Large Cap Fund
36.6125,2024-08-08,SBI PSU Fund
34.0017,2024-08-08,ICICI Prudential Bharat 22 FOF
34.9598,2024-08-08,HSBC Equity Savings Fund
27.0362,2024-08-08,Kotak Equity Savings Fund
210.2,2024-08-09,HDFC Focused 30 Fund
96.6915,2024-08-09,Nippon India Large Cap Fund
34.2167,2024-08-09,ICICI Prudential Bharat 22 FOF
27.1626,2024-08-09,Kotak Equity Savings Fund
36.9695,2024-08-09,SBI PSU Fund
35.1874,2024-08-09,HSBC Equity Savings Fund
41.13,2024-08-09,Bank of India Mid Small Cap Fund
34.1034,2024-08-12,ICICI Prudential Bharat 22 FOF
27.1946,2024-08-12,Kotak Equity Savings Fund
96.4431,2024-08-12,Nippon India Large Cap Fund
36.8608,2024-08-12,SBI PSU Fund
210.662,2024-08-12,HDFC Focused 30 Fund
35.2203,2024-08-12,HSBC Equity Savings Fund
41.31,2024-08-12,Bank of India Mid Small Cap Fund
41.13,2024-08-13,Bank of India Mid Small Cap Fund
209.201,2024-08-13,HDFC Focused 30 Fund
36.2812,2024-08-13,SBI PSU Fund
35.1815,2024-08-13,HSBC Equity Savings Fund
27.1132,2024-08-13,Kotak Equity Savings Fund
95.363,2024-08-13,Nippon India Large Cap Fund
33.6858,2024-08-13,ICICI Prudential Bharat 22 FOF
95.3783,2024-08-14,Nippon India Large Cap Fund
208.846,2024-08-14,HDFC Focused 30 Fund
35.1721,2024-08-14,HSBC Equity Savings Fund
35.9804,2024-08-14,SBI PSU Fund
40.91,2024-08-14,Bank of India Mid Small Cap Fund
27.1105,2024-08-14,Kotak Equity Savings Fund
33.4874,2024-08-14,ICICI Prudential Bharat 22 FOF
36.5855,2024-08-16,SBI PSU Fund
41.62,2024-08-16,Bank of India Mid Small Cap Fund
27.2925,2024-08-16,Kotak Equity Savings Fund
96.8796,2024-08-16,Nippon India Large Cap Fund
35.5021,2024-08-16,HSBC Equity Savings Fund
211.797,2024-08-16,HDFC Focused 30 Fund
33.9549,2024-08-16,ICICI Prudential Bharat 22 FOF
34.1583,2024-08-19,ICICI Prudential Bharat 22 FOF
41.92,2024-08-19,Bank of India Mid Small Cap Fund
35.624,2024-08-19,HSBC Equity Savings Fund
36.9868,2024-08-19,SBI PSU Fund
97.0611,2024-08-19,Nippon India Large Cap Fund
211.699,2024-08-19,HDFC Focused 30 Fund
27.3757,2024-08-19,Kotak Equity Savings Fund
37.2353,2024-08-20,SBI PSU Fund
42.0,2024-08-20,Bank of India Mid Small Cap Fund
34.3705,2024-08-20,ICICI Prudential Bharat 22 FOF
97.6125,2024-08-20,Nippon India Large Cap Fund
212.696,2024-08-20,HDFC Focused 30 Fund
27.448,2024-08-20,Kotak Equity Savings Fund
35.6297,2024-08-20,HSBC Equity Savings Fund
27.4817,2024-08-21,Kotak Equity Savings Fund
37.231,2024-08-21,SBI PSU Fund
97.8326,2024-08-21,Nippon India Large Cap Fund
34.4753,2024-08-21,ICICI Prudential Bharat 22 FOF
213.615,2024-08-21,HDFC Focused 30 Fund
42.37,2024-08-21,Bank of India Mid Small Cap Fund
35.6103,2024-08-21,HSBC Equity Savings Fund
214.153,2024-08-22,HDFC Focused 30 Fund
27.5138,2024-08-22,Kotak Equity Savings Fund
37.2018,2024-08-22,SBI PSU Fund
